headword,pos,english,french,irish,ease_rating,opacity_low,opacity_mid,opacity_high,notes,examples
chaud,adjective,hot,chaud,te,2,0.4,0.1,0.3,"High temperature, French-derived","très chaud (an-te) | eau chaude (uisce te)"
chez,preposition,at/by,chez,ag,2,0.4,0.1,0.4,"At someone's place, French-derived","chez moi (ag mo theach) | chez famille (ag an gclann)"
comment,adverb,how,comment,conas,2,0.3,0.1,0.4,"Manner question, French-derived","comment allez-vous (conas atá tú) | comment ça va (conas atá tú)"
dans,preposition,in,dans,i,2,0.3,0.1,0.3,"Interior location, French-derived","dans maison (sa teach) | dans cuisine (sa chistin)"
demain,adverb,tomorrow,demain,amárach,2,0.4,0.1,0.4,"Next day, French-derived","à demain (go dtí amárach) | demain matin (amárach ar maidin)"
déjeuner,noun,lunch,déjeuner,lón,2,0.4,0.1,0.4,"Midday meal, French-derived","prendre déjeuner (ól lón) | bon déjeuner (lón maith)"
eau,noun,water,eau,uisce,2,0.3,0.1,0.3,"H2O, French-derived","boire eau (ól uisce) | eau froide (uisce fuar)"
écouter,verb,listen,écouter,éist,2,0.4,0.1,0.4,"Hear attentively, French-derived","écouter musique (éist le ceol) | écouter bien (éist go maith)"
elle,pronoun,she,elle,sí,2,0.3,0.1,0.1,"Third person feminine, French-derived","elle est (tá sí) | elle vient (tagann sí)"
encore,adverb,again,encore,arís,2,0.3,0.1,0.4,"Once more, French-derived","encore une fois (uair amháin eile) | encore ça (sin arís)"
enfant,noun,child,enfant,páiste,2,0.3,0.1,0.4,"Young person, French-derived","mon enfant (mo pháiste) | petit enfant (páiste beag)"
ensemble,adverb,together,ensemble,le chéile,2,0.3,0.1,0.4,"In unity, French-derived","manger ensemble (ithe le chéile) | travailler ensemble (obair le chéile)"
être,verb,be,être,bí,2,0.3,0.1,0.2,"Exist/copula, French-derived","je suis (táim) | être content (bheith sásta)"
faire,verb,do/make,faire,déan,2,0.3,0.1,0.3,"Create/perform, French-derived","faire dinner (déan dinnéar) | faire attention (tabhair aire)"
fille,noun,girl,fille,cailín,2,0.3,0.1,0.4,"Young female, French-derived","petite fille (cailín beag) | ma fille (mo chailín)"
froid,adjective,cold,froid,fuar,2,0.4,0.1,0.3,"Low temperature, French-derived","très froid (an-fhuar) | eau froide (uisce fuar)"
gentil,adjective,kind,gentil,cineálta,2,0.4,0.1,0.5,"Nice/kind, French-derived","très gentil (an-chineálta) | homme gentil (fear cineálta)"
grand,adjective,big,grand,mór,2,0.3,0.1,0.3,"Large, French-derived","grand maison (teach mór) | très grand (an-mhór)"
hier,adverb,yesterday,hier,inné,2,0.4,0.1,0.4,"Previous day, French-derived","hier soir (inné tráthnóna) | hier matin (inné ar maidin)"
ici,adverb,here,ici,anseo,2,0.3,0.1,0.3,"This location, French-derived","venir ici (tar anseo) | ici c'est (anseo atá)"
il,pronoun,he,il,sé,2,0.3,0.1,0.1,"Third person masculine, French-derived","il est (tá sé) | il vient (tagann sé)"
ils,pronoun,they,ils,siad,2,0.3,0.1,0.1,"Third person plural masculine, French-derived","ils sont (tá siad) | ils viennent (tagann siad)"
je,pronoun,I,je,mé,2,0.3,0.1,0.1,"First person singular, French-derived","je suis (táim) | je viens (tagaim)"
jouer,verb,play,jouer,imir,2,0.3,0.1,0.4,"Engage in games, French-derived","jouer ensemble (imir le chéile) | jouer dehors (imir amuigh)"
jour,noun,day,jour,lá,2,0.3,0.1,0.2,"24-hour period, French-derived","bon jour (lá maith) | chaque jour (gach lá)"
là,adverb,there,là,ansin,2,0.3,0.1,0.3,"That location, French-derived","là-bas (thall ansin) | aller là (dul ansin)"
lire,verb,read,lire,léigh,2,0.3,0.1,0.4,"Interpret text, French-derived","lire livre (léigh leabhar) | lire ensemble (léigh le chéile)"
livre,noun,book,livre,leabhar,2,0.3,0.1,0.4,"Reading material, French-derived","mon livre (mo leabhar) | bon livre (leabhar maith)"
maintenant,adverb,now,maintenant,anois,2,0.4,0.1,0.4,"Present time, French-derived","maintenant ici (anois anseo) | tout maintenant (anois díreach)"
maison,noun,house,maison,teach,2,0.3,0.1,0.3,"Dwelling, French-derived","ma maison (mo theach) | grande maison (teach mór)"
manger,verb,eat,manger,ith,2,0.3,0.1,0.3,"Consume food, French-derived","manger ensemble (ith le chéile) | manger bien (ith go maith)"
matin,noun,morning,matin,maidin,2,0.3,0.1,0.4,"Early day, French-derived","ce matin (ar maidin) | bon matin (maidin mhaith)"
merci,interjection,thank you,merci,go raibh maith agat,2,0.3,0.1,0.5,"Gratitude expression, French-derived","merci beaucoup (go raibh míle maith agat)"
mère,noun,mother,mère,máthair,2,0.3,0.1,0.4,"Female parent, French-derived","ma mère (mo mháthair) | bonne mère (máthair mhaith)"
mettre,verb,put,mettre,cuir,2,0.3,0.1,0.3,"Place/position, French-derived","mettre ici (cuir anseo) | mettre table (cuir ar an mbord)"
moi,pronoun,me,moi,mé,2,0.3,0.1,0.1,"First person object, French-derived","avec moi (liom) | pour moi (domsa)"
mon,determiner,my,mon,mo,2,0.3,0.1,0.1,"First person possessive masculine, French-derived","mon fils (mo mhac) | mon livre (mo leabhar)"
musique,noun,music,musique,ceol,2,0.3,0.1,0.4,"Sound art, French-derived","écouter musique (éist le ceol) | belle musique (ceol álainn)"
non,particle,no,non,níl,2,0.3,0.1,0.2,"Negative response, French-derived","non merci (níl go raibh maith agat) | non pas (ní hea)"
nous,pronoun,we,nous,muid,2,0.3,0.1,0.1,"First person plural, French-derived","nous sommes (táimid) | nous allons (téimid)"
nuit,noun,night,nuit,oíche,2,0.3,0.1,0.3,"Dark period, French-derived","bonne nuit (oíche mhaith) | cette nuit (anocht)"
où,adverb,where,où,cá háit,2,0.3,0.1,0.4,"Place question, French-derived","où est (cá bhfuil) | où aller (cá háit dul)"
oui,particle,yes,oui,tá,2,0.3,0.1,0.1,"Affirmative response, French-derived","oui merci (tá go raibh maith agat) | oui bien sûr (tá cinnte)"
parler,verb,speak,parler,labhair,2,0.3,0.1,0.4,"Use language, French-derived","parler français (labhair Fraincís) | parler ensemble (labhair le chéile)"
père,noun,father,père,athair,2,0.3,0.1,0.4,"Male parent, French-derived","mon père (m'athair) | bon père (athair maith)"
petit,adjective,small,petit,beag,2,0.3,0.1,0.3,"Little size, French-derived","petit enfant (páiste beag) | très petit (an-bheag)"
peut-être,adverb,maybe,peut-être,b'fhéidir,2,0.5,0.1,0.5,"Possibly, French-derived","peut-être oui (b'fhéidir sea) | peut-être demain (b'fhéidir amárach)"
pourquoi,adverb,why,pourquoi,cén fáth,2,0.4,0.1,0.4,"Reason question, French-derived","pourquoi pas (cén fáth nach) | pourquoi ici (cén fáth anseo)"
prendre,verb,take,prendre,tóg,2,0.3,0.1,0.3,"Grasp/consume, French-derived","prendre livre (tóg leabhar) | prendre temps (tóg am)"
quand,adverb,when,quand,cathain,2,0.3,0.1,0.4,"Time question, French-derived","quand venir (cathain teacht) | quand ça (cathain sin)"
que,pronoun,what/that,que,cad/go,2,0.3,0.1,0.2,"Interrogative/relative, French-derived","qu'est-ce que (cad é) | que faire (cad a dhéanamh)"
qui,pronoun,who,qui,cé,2,0.3,0.1,0.2,"Person question, French-derived","qui est (cé hé) | qui vient (cé a thagann)"
regarder,verb,look,regarder,féach,2,0.4,0.1,0.4,"See/observe, French-derived","regarder ici (féach anseo) | regarder télé (féach ar an teilifís)"
savoir,verb,know,savoir,fios,2,0.3,0.1,0.3,"Have knowledge, French-derived","je sais (tá fios agam) | savoir faire (eolas a bheith agat)"
soir,noun,evening,soir,tráthnóna,2,0.3,0.1,0.4,"Late day, French-derived","ce soir (anocht) | bon soir (tráthnóna maith)"
tout,determiner,all/everything,tout,gach,2,0.3,0.1,0.3,"Complete set, French-derived","tout famille (an chlann ar fad) | tout monde (gach duine)"
très,adverb,very,très,an-,2,0.3,0.1,0.2,"Intensifier, French-derived","très bon (an-mhaith) | très grand (an-mhór)"
tu,pronoun,you,tu,tú,2,0.3,0.1,0.1,"Second person informal, French-derived","tu es (tá tú) | tu viens (tagann tú)"
un,determiner,a/an,un,aon,2,0.3,0.1,0.2,"Indefinite article masculine, French-derived","un livre (leabhar) | un jour (lá)"
une,determiner,a/an,une,aon,2,0.3,0.1,0.2,"Indefinite article feminine, French-derived","une maison (teach) | une fille (cailín)"
venir,verb,come,venir,tar,2,0.3,0.1,0.3,"Move toward, French-derived","venir ici (tar anseo) | venir ensemble (tar le chéile)"
voir,verb,see,voir,feic,2,0.3,0.1,0.3,"Perceive visually, French-derived","voir ça (feic sin) | voir famille (feic an chlann)"
vouloir,verb,want,vouloir,ba mhaith le,2,0.3,0.1,0.4,"Desire, French-derived","je veux (ba mhaith liom) | vouloir manger (ag iarraidh ithe)"
vous,pronoun,you,vous,sibh,2,0.3,0.1,0.2,"Second person formal/plural, French-derived","vous êtes (tá sibh) | avec vous (libh)"
abair,verb,say,dire,abair,4,0.6,0.6,0.1,"Speak/state, Irish-derived","abair liom (tell me) | abair arís (say again)"
ag,preposition,at/with,à/avec,ag,3,0.5,0.5,0.1,"Progressive marker, Irish-derived","ag obair (working) | ag teacht (coming)"
aghaidh,noun,face,visage,aghaidh,4,0.6,0.7,0.1,"Front of head, Irish-derived","ar aghaidh (forward) | aghaidh mhaith (good face)"
aimhréidh,adjective,difficult,difficile,deacair,5,0.8,0.8,0.2,"Hard/challenging, Irish-derived","obair aimhréidh (difficult work) | ceist aimhréidh (difficult question)"
ainm,noun,name,nom,ainm,3,0.4,0.5,0.1,"Identifier, Irish-derived","mo ainm (my name) | ainm maith (good name)"
amach,adverb,out,dehors,amach,3,0.5,0.5,0.1,"Outward direction, Irish-derived","tar amach (come out) | ag dul amach (going out)"
anuraidh,adverb,last year,l'année dernière,anuraidh,5,0.8,0.8,0.1,"Previous year, Irish-derived","anuraidh bhí (last year was) | rud anuraidh (last year's thing)"
aon,number,one,un,aon,3,0.4,0.4,0.1,"Number 1, Irish-derived","aon duine (one person) | aon lá (one day)"
arán,noun,bread,pain,arán,3,0.5,0.5,0.1,"Baked food, Irish-derived","arán úr (fresh bread) | ag ithe aráin (eating bread)"
athair,noun,father,père,athair,3,0.4,0.5,0.1,"Male parent, Irish-derived","m'athair (my father) | athair maith (good father)"
bainne,noun,milk,lait,bainne,4,0.6,0.6,0.1,"Dairy liquid, Irish-derived","ag ól bainne (drinking milk) | bainne te (warm milk)"
bán,adjective,white,blanc,bán,3,0.4,0.5,0.1,"Light color, Irish-derived","teach bán (white house) | éadach bán (white clothes)"
beannacht,noun,blessing,bénédiction,beannacht,5,0.8,0.8,0.1,"Divine favor, Irish-derived","beannacht Dé (God's blessing) | beannacht ort (blessing on you)"
beatha,noun,life,vie,beatha,4,0.6,0.6,0.1,"Existence, Irish-derived","mo bheatha (my life) | beatha mhaith (good life)"
beithíoch,noun,animal,animal,beithíoch,5,0.8,0.7,0.1,"Living creature, Irish-derived","beithíoch fada (wild animal) | beithíoch tí (domestic animal)"
bheith,verb,be,être,bí,3,0.4,0.4,0.1,"Exist/copula, Irish-derived","a bheith (to be) | bheith ag (to have)"
bia,noun,food,nourriture,bia,3,0.4,0.5,0.1,"Nourishment, Irish-derived","bia maith (good food) | ag ithe bia (eating food)"
bláth,noun,flower,fleur,bláth,4,0.5,0.6,0.1,"Plant bloom, Irish-derived","bláth álainn (beautiful flower) | blátha an earraigh (spring flowers)"
bliain,noun,year,année,bliain,3,0.4,0.4,0.1,"365 days, Irish-derived","bliain nua (new year) | sa bhliain (in the year)"
bord,noun,table,table,bord,3,0.4,0.4,0.1,"Furniture surface, Irish-derived","ar an mbord (on the table) | bord mór (big table)"
brón,noun,sadness,tristesse,brón,4,0.6,0.6,0.1,"Sorrow, Irish-derived","brón mór (great sadness) | tá brón orm (I am sad)"
buachaill,noun,boy,garçon,buachaill,4,0.6,0.6,0.1,"Young male, Irish-derived","buachaill óg (young boy) | buachaill maith (good boy)"
bui,adjective,yellow,jaune,buí,3,0.5,0.5,0.1,"Color, Irish-derived","bláth buí (yellow flower) | éadach buí (yellow clothes)"
cailín,noun,girl,fille,cailín,3,0.4,0.4,0.1,"Young female, Irish-derived","cailín deas (nice girl) | cailín beag (little girl)"
caithfidh,verb,must,devoir,caithfidh,4,0.6,0.6,0.1,"Obligation, Irish-derived","caithfidh mé (I must) | caithfidh tú (you must)"
capall,noun,horse,cheval,capall,4,0.6,0.6,0.1,"Equine animal, Irish-derived","capall dubh (black horse) | ag marcaíocht capall (riding a horse)"
cara,noun,friend,ami,cara,3,0.4,0.4,0.1,"Companion, Irish-derived","mo chara (my friend) | cara maith (good friend)"
ceann,noun,head,tête,ceann,3,0.5,0.5,0.1,"Top of body/one, Irish-derived","mo cheann (my head) | ceann amháin (one)"
ceol,noun,music,musique,ceol,3,0.4,0.5,0.1,"Sound art, Irish-derived","ceol álainn (beautiful music) | ag éisteacht le ceol (listening to music)"
chomh,adverb,as/so,aussi,chomh,4,0.6,0.6,0.1,"Comparison, Irish-derived","chomh maith (as good) | chomh hard (so hard)"
cineál,noun,kind/type,genre,cineál,4,0.6,0.6,0.1,"Variety/category, Irish-derived","cineál maith (good kind) | cén cineál (what kind)"
clann,noun,family,famille,clann,3,0.4,0.4,0.1,"Related group, Irish-derived","mo chlann (my family) | clann mhór (big family)"
cnoc,noun,hill,colline,cnoc,4,0.6,0.6,0.1,"Small mountain, Irish-derived","cnoc ard (high hill) | suas an cnoc (up the hill)"
conas,adverb,how,comment,conas,3,0.4,0.5,0.1,"Manner question, Irish-derived","conas atá tú (how are you) | conas déanamh (how to do)"
cosúil,adjective,similar,similaire,cosúil,4,0.6,0.6,0.1,"Alike, Irish-derived","cosúil le (similar to) | an-chosúil (very similar)"
crann,noun,tree,arbre,crann,3,0.5,0.5,0.1,"Woody plant, Irish-derived","crann mór (big tree) | faoin gcrann (under the tree)"
cúpla,determiner,couple,couple,cúpla,4,0.5,0.5,0.1,"A few, Irish-derived","cúpla lá (a few days) | cúpla duine (a couple of people)"
deacair,adjective,difficult,difficile,deacair,4,0.6,0.6,0.1,"Hard/challenging, Irish-derived","obair dheacair (difficult work) | an-deacair (very difficult)"
dearg,adjective,red,rouge,dearg,3,0.5,0.5,0.1,"Color, Irish-derived","carr dearg (red car) | éadach dearg (red clothes)"
déanamh,verb,do/make,faire,déan,3,0.4,0.4,0.1,"Perform/create, Irish-derived","ag déanamh (doing) | déan é sin (do that)"
díreach,adverb,just/straight,juste,díreach,4,0.5,0.6,0.1,"Exactly/directly, Irish-derived","díreach anois (right now) | díreach anseo (right here)"
doras,noun,door,porte,doras,3,0.4,0.5,0.1,"Entrance/exit, Irish-derived","ag an doras (at the door) | doras mór (big door)"
dubh,adjective,black,noir,dubh,3,0.5,0.5,0.1,"Dark color, Irish-derived","carr dubh (black car) | éadach dubh (black clothes)"
duine,noun,person,personne,duine,3,0.4,0.4,0.1,"Human being, Irish-derived","duine maith (good person) | duine óg (young person)"
dúl,verb,go,aller,téigh,3,0.4,0.4,0.1,"Move/travel, Irish-derived","ag dul (going) | dul abhaile (going home)"
éisteacht,verb,listen,écouter,éist,4,0.6,0.6,0.1,"Hear attentively, Irish-derived","ag éisteacht (listening) | éisteacht le ceol (listen to music)"
fada,adjective,long,long,fada,3,0.4,0.4,0.1,"Extended, Irish-derived","bóthar fada (long road) | am fada (long time)"
féach,verb,look,regarder,féach,3,0.4,0.5,0.1,"See/observe, Irish-derived","ag féachaint (looking) | féach ar sin (look at that)"
fearr,adjective,better,meilleur,níos fearr,4,0.6,0.6,0.1,"Superior, Irish-derived","níos fearr (better) | an-fhearr (much better)"
fhios,noun,knowledge,connaissance,fios,4,0.6,0.6,0.1,"Information, Irish-derived","tá fios agam (I know) | gan fhios (without knowing)"
fíor,adjective,true,vrai,fíor,4,0.5,0.6,0.1,"Genuine/real, Irish-derived","fíor mhaith (really good) | an-fhíor (very true)"
focal,noun,word,mot,focal,4,0.5,0.6,0.1,"Language unit, Irish-derived","focal maith (good word) | roinnt focal (some words)"
fuinneog,noun,window,fenêtre,fuinneog,4,0.6,0.7,0.1,"Opening for light, Irish-derived","ag an bhfuinneog (at the window) | fuinneog mhór (big window)"
gairdín,noun,garden,jardin,gairdín,4,0.5,0.5,0.1,"Cultivated space, Irish-derived","sa ghairdín (in the garden) | gairdín álainn (beautiful garden)"
glas,adjective,green,vert,glas,3,0.4,0.5,0.1,"Color, Irish-derived","féar glas (green grass) | éadach glas (green clothes)"
gorm,adjective,blue,bleu,gorm,3,0.5,0.5,0.1,"Color, Irish-derived","spéir ghorm (blue sky) | éadach gorm (blue clothes)"
grúad,noun,cheek,joue,grúad,5,0.8,0.8,0.1,"Side of face, Irish-derived","grúad dearg (red cheek) | póg ar an ngrúad (kiss on the cheek)"
iníon,noun,daughter,fille,iníon,4,0.5,0.6,0.1,"Female offspring, Irish-derived","mo iníon (my daughter) | iníon óg (young daughter)"
iontach,adjective,wonderful,merveilleux,iontach,4,0.6,0.7,0.1,"Excellent, Irish-derived","lá iontach (wonderful day) | duine iontach (wonderful person)"
léamh,verb,read,lire,léigh,3,0.4,0.4,0.1,"Interpret text, Irish-derived","ag léamh (reading) | léigh an leabhar (read the book)"
leithscéal,noun,excuse,excuse,leithscéal,5,0.8,0.8,0.1,"Apology, Irish-derived","leithscéal agam (excuse me) | leithscéal maith (good excuse)"
liath,adjective,grey,gris,liath,4,0.6,0.6,0.1,"Color, Irish-derived","gruaig liath (grey hair) | spéir liath (grey sky)"
maidin,noun,morning,matin,maidin,3,0.4,0.4,0.1,"Early day, Irish-derived","ar maidin (in the morning) | maidin mhaith (good morning)"
maith,adjective,good,bon,maith,2,0.3,0.3,0.1,"Positive quality, Irish-derived","lá maith (good day) | duine maith (good person)"
mí,noun,month,mois,mí,3,0.4,0.5,0.1,"30 days, Irish-derived","mí amháin (one month) | gach mí (every month)"
milseán,noun,sweet/candy,bonbon,milseán,5,0.7,0.7,0.1,"Confection, Irish-derived","milseán maith (good sweet) | ag ithe milseáin (eating sweets)"
mór,adjective,big/great,grand,mór,2,0.3,0.3,0.1,"Large, Irish-derived","teach mór (big house) | duine mór (important person)"
nuair,adverb,when,quand,nuair,3,0.4,0.4,0.1,"Time conjunction, Irish-derived","nuair a bhí (when was) | nuair a thagann (when comes)"
óg,adjective,young,jeune,óg,2,0.3,0.4,0.1,"Not old, Irish-derived","duine óg (young person) | páiste óg (young child)"
olann,verb,drink,boire,ól,3,0.4,0.4,0.1,"Consume liquid, Irish-derived","ag ól (drinking) | ól bainne (drink milk)"
páiste,noun,child,enfant,páiste,3,0.4,0.4,0.1,"Young person, Irish-derived","páiste beag (small child) | mo pháiste (my child)"
píosa,noun,piece,morceau,píosa,4,0.5,0.6,0.1,"Part/portion, Irish-derived","píosa aráin (piece of bread) | píosa maith (good piece)"
pog,noun,kiss,baiser,póg,4,0.5,0.6,0.1,"Affectionate touch, Irish-derived","póg mhilis (sweet kiss) | tabhair póg (give a kiss)"
rith,verb,run,courir,rith,3,0.4,0.4,0.1,"Move quickly, Irish-derived","ag rith (running) | rith go tapa (run fast)"
roimh,preposition,before,avant,roimh,4,0.5,0.5,0.1,"Earlier than, Irish-derived","roimh am (before time) | roimhe sin (before that)"
roinnt,determiner,some,quelque,roinnt,4,0.5,0.6,0.1,"Indefinite quantity, Irish-derived","roinnt bia (some food) | roinnt daoine (some people)"
rugadh,verb,born,né,rugadh,5,0.7,0.7,0.1,"Came into existence, Irish-derived","rugadh mé (I was born) | rugadh anseo (born here)"
scéal,noun,story,histoire,scéal,4,0.5,0.6,0.1,"Narrative, Irish-derived","scéal maith (good story) | ag insint scéil (telling a story)"
seacht,number,seven,sept,seacht,3,0.4,0.5,0.1,"Number 7, Irish-derived","seacht lá (seven days) | seacht nduine (seven people)"
seomra,noun,room,chambre,seomra,4,0.5,0.6,0.1,"Interior space, Irish-derived","seomra mór (big room) | sa seomra (in the room)"
síos,adverb,down,en bas,síos,3,0.4,0.5,0.1,"Downward direction, Irish-derived","téigh síos (go down) | síos an bóthar (down the road)"
suí,verb,sit,s'asseoir,suigh,3,0.4,0.4,0.1,"Be seated, Irish-derived","ag suí (sitting) | suigh síos (sit down)"
talamh,noun,ground/land,terre,talamh,4,0.6,0.6,0.1,"Earth/soil, Irish-derived","ar an talamh (on the ground) | talamh maith (good land)"
tapa,adjective,quick,rapide,tapa,4,0.5,0.6,0.1,"Fast, Irish-derived","go tapa (quickly) | an-tapa (very quick)"
tigh,noun,house,maison,tigh,4,0.5,0.5,0.1,"Dwelling (archaic), Irish-derived","tigh mór (big house) | ag an tigh (at the house)"
tine,noun,fire,feu,tine,4,0.6,0.6,0.1,"Flame/heat source, Irish-derived","tine mhór (big fire) | cois na tine (by the fire)"
tráthnóna,noun,evening,soir,tráthnóna,4,0.6,0.7,0.1,"Late day, Irish-derived","tráthnóna maith (good evening) | sa tráthnóna (in the evening)"
uaigneas,noun,loneliness,solitude,uaigneas,5,0.8,0.8,0.1,"State of being alone, Irish-derived","uaigneas mór (great loneliness) | mothú uaignis (feeling lonely)"
úll,noun,apple,pomme,úll,4,0.6,0.6,0.1,"Fruit, Irish-derived","úll dearg (red apple) | ag ithe úll (eating an apple)"
úsáid,verb,use,utiliser,úsáid,4,0.5,0.5,0.1,"Employ/utilize, Irish-derived","ag úsáid (using) | úsáid go maith (use well)"